"External ID","Code","Description"
"l10n_eu_nace.nace_A","A","POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO"
"l10n_eu_nace.nace_01","01","Biljna i stočarska proizvodnja, lovstvo i uslužne djelatnosti povezane s njima"
"l10n_eu_nace.nace_01_1","01.1","Uzgoj jednogodišnjih usjeva "
"l10n_eu_nace.nace_01_11","01.11","Uzgoj žitarica (osim riže), mahunarki i uljanog sjemenja"
"l10n_eu_nace.nace_01_12","01.12","Uzgoj riže"
"l10n_eu_nace.nace_01_13","01.13","Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća"
"l10n_eu_nace.nace_01_14","01.14","Uzgoj šećerne trske"
"l10n_eu_nace.nace_01_15","01.15","Uzgoj duhana"
"l10n_eu_nace.nace_01_16","01.16","Uzgoj predivog bilja "
"l10n_eu_nace.nace_01_19","01.19","Uzgoj ostalih jednogodišnjih usjeva "
"l10n_eu_nace.nace_01_2","01.2","Uzgoj višegodišnjih usjeva "
"l10n_eu_nace.nace_01_21","01.21","Uzgoj grožđa "
"l10n_eu_nace.nace_01_22","01.22","Uzgoj tropskog i suptropskog voća"
"l10n_eu_nace.nace_01_23","01.23","Uzgoj agruma"
"l10n_eu_nace.nace_01_24","01.24","Uzgoj jezgričavog i koštuničavog voća"
"l10n_eu_nace.nace_01_25","01.25","Uzgoj bobičastog, orašastog i ostalog voća "
"l10n_eu_nace.nace_01_26","01.26","Uzgoj uljanih plodova"
"l10n_eu_nace.nace_01_27","01.27","Uzgoj usjeva za pripremanje napitaka"
"l10n_eu_nace.nace_01_28","01.28","Uzgoj bilja za uporabu u farmaciji, aromatskog, začinskog i ljekovitog bilja  "
"l10n_eu_nace.nace_01_29","01.29","Uzgoj ostalih višegodišnjih usjeva"
"l10n_eu_nace.nace_01_3","01.3","Uzgoj sadnog materijala i ukrasnog bilja"
"l10n_eu_nace.nace_01_30","01.30","Uzgoj sadnog materijala i ukrasnog bilja"
"l10n_eu_nace.nace_01_4","01.4","Uzgoj stoke, peradi i ostalih životinja"
"l10n_eu_nace.nace_01_41","01.41","Uzgoj muznih krava"
"l10n_eu_nace.nace_01_42","01.42","Uzgoj ostalih goveda i bivola"
"l10n_eu_nace.nace_01_43","01.43","Uzgoj konja, magaraca, mula i mazgi"
"l10n_eu_nace.nace_01_44","01.44","Uzgoj deva i ljama"
"l10n_eu_nace.nace_01_45","01.45","Uzgoj ovaca i koza"
"l10n_eu_nace.nace_01_46","01.46","Uzgoj svinja"
"l10n_eu_nace.nace_01_47","01.47","Uzgoj peradi"
"l10n_eu_nace.nace_01_49","01.49","Uzgoj ostalih životinja"
"l10n_eu_nace.nace_01_5","01.5","Mješovita proizvodnja"
"l10n_eu_nace.nace_01_50","01.50","Mješovita proizvodnja"
"l10n_eu_nace.nace_01_6","01.6","Pomoćne djelatnosti u poljoprivredi i djelatnosti koje se obavljaju nakon žetve usjeva"
"l10n_eu_nace.nace_01_61","01.61","Pomoćne djelatnosti za uzgoj usjeva"
"l10n_eu_nace.nace_01_62","01.62","Pomoćne djelatnosti za uzgoj životinja"
"l10n_eu_nace.nace_01_63","01.63","Djelatnosti koje se obavljaju nakon žetve usjeva (priprema usjeva za primarna tržišta)"
"l10n_eu_nace.nace_01_64","01.64","Dorada sjemena za sjemenski materijal"
"l10n_eu_nace.nace_01_7","01.7","Lov, stupičarenje i uslužne djelatnosti povezane s njima"
"l10n_eu_nace.nace_01_70","01.70","Lov, stupičarenje i uslužne djelatnosti povezane s njima"
"l10n_eu_nace.nace_02","02","Šumarstvo i sječa drva"
"l10n_eu_nace.nace_02_1","02.1","Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime"
"l10n_eu_nace.nace_02_10","02.10","Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime"
"l10n_eu_nace.nace_02_2","02.2","Sječa drva"
"l10n_eu_nace.nace_02_20","02.20","Sječa drva "
"l10n_eu_nace.nace_02_3","02.3","Skupljanje šumskih plodova i proizvoda, osim šumskih sortimenata"
"l10n_eu_nace.nace_02_30","02.30","Skupljanje šumskih plodova i proizvoda, osim šumskih sortimenata"
"l10n_eu_nace.nace_02_4","02.4","Pomoćne usluge u šumarstvu "
"l10n_eu_nace.nace_02_40","02.40","Pomoćne usluge u šumarstvu"
"l10n_eu_nace.nace_03","03","Ribarstvo "
"l10n_eu_nace.nace_03_1","03.1","Ribolov"
"l10n_eu_nace.nace_03_11","03.11","Morski ribolov"
"l10n_eu_nace.nace_03_12","03.12","Slatkovodni ribolov"
"l10n_eu_nace.nace_03_2","03.2","Akvakultura"
"l10n_eu_nace.nace_03_21","03.21","Morska akvakultura"
"l10n_eu_nace.nace_03_22","03.22","Slatkovodna akvakultura"
"l10n_eu_nace.nace_B","B","RUDARSTVO I VAĐENJE"
"l10n_eu_nace.nace_05","05","Vađenje ugljena i lignita"
"l10n_eu_nace.nace_05_1","05.1","Vađenje kamenog ugljena"
"l10n_eu_nace.nace_05_10","05.10","Vađenje kamenog ugljena"
"l10n_eu_nace.nace_05_2","05.2","Vađenje lignita"
"l10n_eu_nace.nace_05_20","05.20","Vađenje lignita"
"l10n_eu_nace.nace_06","06","Vađenje sirove nafte i prirodnog plina"
"l10n_eu_nace.nace_06_1","06.1","Vađenje sirove nafte "
"l10n_eu_nace.nace_06_10","06.10","Vađenje sirove nafte "
"l10n_eu_nace.nace_06_2","06.2","Vađenje prirodnog plina"
"l10n_eu_nace.nace_06_20","06.20","Vađenje prirodnog plina"
"l10n_eu_nace.nace_07","07","Vađenje metalnih ruda"
"l10n_eu_nace.nace_07_1","07.1","Vađenje željeznih ruda"
"l10n_eu_nace.nace_07_10","07.10","Vađenje željeznih ruda"
"l10n_eu_nace.nace_07_2","07.2","Vađenje ruda obojenih metala"
"l10n_eu_nace.nace_07_21","07.21","Vađenje uranovih i torijevih ruda"
"l10n_eu_nace.nace_07_29","07.29","Vađenje ostalih ruda obojenih metala"
"l10n_eu_nace.nace_08","08","Ostalo rudarstvo i vađenje"
"l10n_eu_nace.nace_08_1","08.1","Vađenje kamena, pijeska i gline"
"l10n_eu_nace.nace_08_11","08.11","Vađenje ukrasnoga kamena i kamena za gradnju, vapnenca, gipsa, krede i škriljevca "
"l10n_eu_nace.nace_08_12","08.12","Djelatnosti šljunčara i pješčara; vađenje gline i kaolina"
"l10n_eu_nace.nace_08_9","08.9","Rudarstvo i vađenje, d. n."
